0	xyz0
1	xyz1
2	xyz2
3	xyz3
4	xyz4
5	xyz5
6	xyz6
7	xyz7
8	xyz8
9	xyz9
10	xyz10
11	xyz11
12	xyz12
13	xyz13
14	xyz14
15	xyz15
16	xyz16
17	xyz17
18	xyz18
19	xyz19
20	xyz20
21	xyz21
22	xyz22
23	xyz23
24	xyz24
25	xyz25
26	xyz26
27	xyz27
28	xyz28
29	xyz29
30	xyz30
31	xyz31
32	xyz32
33	xyz33
34	xyz34
35	xyz35
36	xyz36
37	xyz37
38	xyz38
39	xyz39
40	xyz40
41	xyz41
42	xyz42
43	xyz43
44	xyz44
45	xyz45
46	xyz46
47	xyz47
48	xyz48
49	xyz49
50	xyz50
51	xyz51
52	xyz52
53	xyz53
54	xyz54
55	xyz55
56	xyz56
57	xyz57
58	xyz58
59	xyz59
60	xyz60
61	xyz61
62	xyz62
63	xyz63
64	xyz64
65	xyz65
66	xyz66
67	xyz67
68	xyz68
69	xyz69
70	xyz70
71	xyz71
72	xyz72
73	xyz73
74	xyz74
75	xyz75
76	xyz76
77	xyz77
78	xyz78
79	xyz79
80	xyz80
81	xyz81
82	xyz82
83	xyz83
84	xyz84
85	xyz85
86	xyz86
87	xyz87
88	xyz88
89	xyz89
90	xyz90
91	xyz91
92	xyz92
93	xyz93
94	xyz94
95	xyz95
96	xyz96
97	xyz97
98	xyz98
99	xyz99
100	xyz100
101	xyz101
102	xyz102
103	xyz103
104	xyz104
105	xyz105
106	xyz106
107	xyz107
108	xyz108
109	xyz109
110	xyz110
111	xyz111
112	xyz112
113	xyz113
114	xyz114
115	xyz115
116	xyz116
117	xyz117
118	xyz118
119	xyz119
120	xyz120
121	xyz121
122	xyz122
123	xyz123
124	xyz124
125	xyz125
126	xyz126
127	xyz127
128	xyz128
129	xyz129
130	xyz130
131	xyz131
132	xyz132
133	xyz133
134	xyz134
135	xyz135
136	xyz136
137	xyz137
138	xyz138
139	xyz139
140	xyz140
141	xyz141
142	xyz142
143	xyz143
144	xyz144
145	xyz145
146	xyz146
147	xyz147
148	xyz148
149	xyz149
